sample_name	UMAP_x	UMAP_y	umap_hdb_cluster_labels	kmeans_cluster_labels
P00391	0.6037525	4.286871	8	5
P00218	0.9924169	3.7972004	8	5
P00313	0.5831116	2.867554	6	2
P00321	1.2656714	3.3018422	-1	6
P00203	1.1025378	5.0823445	4	3
P00349	1.1852716	5.466414	4	4
P00305	2.0273702	6.1150002	4	4
P00389	-0.5078143	2.3808284	5	0
P00231	3.8214362	3.5220735	0	9
P00341	0.71840084	3.4197013	-1	6
